longitude,latitude,deff
-154.5,61.61,1.3
-154.37,61.597,-15
-154.49,61.611,0.1
-154.49,61.61,1.7
-154.37,61.598,-0
-154.47,61.609,-14
-154.33,61.595,-22
-154.4,61.602,-2
-154.48,61.611,0.9
-154.49,61.613,-13
-154.24,61.586,-23
-154.4,61.603,2.2
-154.4,61.603,-2
-154.24,61.586,-26
-154.19,61.581,-25
-154.03,61.564,-14
-154.41,61.605,-18
-154.36,61.6,-12
-154.35,61.599,-16
-154.36,61.601,-7
-154.29,61.593,-19
-154.04,61.565,-6
-154.37,61.601,-1
-154.35,61.599,-8
-153.99,61.56,-11
-154.28,61.593,-12
-154.16,61.579,-7
-154.28,61.593,-21
-154.28,61.594,-3
-154.41,61.607,-17
-154.36,61.601,-10
-154.37,61.603,-26
-153.95,61.557,-21
-154.38,61.605,-4
-154.24,61.59,-27
-153.74,61.534,-15
-154.28,61.594,-27
-154.27,61.594,-18
-153.82,61.543,-26
-154.24,61.59,-34
-154.11,61.576,-23
-154.37,61.604,-21
-154.31,61.598,-36
-154.02,61.567,-4
-154.14,61.579,-4
-153.64,61.523,8.5
-153.94,61.558,-26
-153.64,61.524,10
-153.74,61.535,-28
-154.28,61.595,-31
-154.48,61.617,-12
-154.02,61.567,-1
-153.73,61.534,-23
-153.79,61.541,-12
-153.69,61.53,-26
-154.11,61.577,-20
-153.62,61.521,-6
-153.79,61.541,-21
-154.19,61.586,-17
-153.77,61.539,-51
-153.47,61.505,19
-153.76,61.539,-42
-154.45,61.615,-16
-153.95,61.561,-22
-153.91,61.555,-37
-154.27,61.596,-11
-153.54,61.513,-15
-154.11,61.578,-9
-153.39,61.497,15
-153.39,61.497,11
-153.95,61.561,-32
-154.27,61.596,-19
-153.46,61.505,6.8
-153.47,61.506,15
-153.77,61.541,-31
-154.28,61.598,-40
-154.42,61.613,-2
-154.28,61.598,-41
-153.77,61.541,-40
-153.72,61.536,-36
-154.23,61.592,-31
-154.46,61.618,-13
-154.28,61.598,-39
-153.89,61.555,-37
-153.62,61.524,6.3
-154.28,61.598,-32
-154.07,61.576,1.3
-154.36,61.608,2.8
-154.4,61.612,-23
-153.86,61.552,-26
-153.83,61.549,-29
-153.61,61.524,-2
-153.74,61.538,-27
-153.68,61.532,-22
-153.62,61.524,4.1
-154.22,61.593,-23
-154.45,61.618,-16
-154.27,61.598,-11
-153.61,61.524,0.8
-154.39,61.611,-14
-153.61,61.524,8
-153.58,61.521,-5
-153.82,61.548,-32
-154.44,61.617,-8
-153.87,61.553,-48
-154.27,61.598,-16
-154.4,61.612,-5
-153.61,61.524,-0
-153.61,61.524,5.2
-154.26,61.598,-19
-153.9,61.558,-35
-153.35,61.494,10
-153.6,61.523,-6
-153.88,61.555,-34
-154.39,61.612,-1
-154.39,61.612,-13
-153.72,61.538,-15
-154.2,61.592,-13
-154.27,61.598,-7
-153.72,61.537,-24
-153.5,61.512,-8
-154.18,61.59,-25
-153.6,61.523,7.2
-154.01,61.571,-4
-153.42,61.503,-4
-154.03,61.573,-6
-153.48,61.51,8.4
-153.6,61.524,7.2
-153.59,61.523,4.2
-153.61,61.525,-5
-154.42,61.616,-15
-153.36,61.496,22
-153.6,61.524,-3
-154.48,61.623,-14
-154.43,61.617,-0
-153.86,61.555,-49
-154.41,61.615,-25
-154.39,61.614,-5
-154.21,61.593,-29
-154.07,61.577,-1
-153.43,61.505,-0
-153.35,61.496,9.6
-154.32,61.606,-38
-154.03,61.574,-13
-153.6,61.525,2.5
-154.16,61.588,-8
-154.42,61.617,-14
-153.88,61.557,-32
-153.9,61.559,-33
-153.35,61.496,9.2
-153.43,61.505,2.6
-154.35,61.61,-35
-154.13,61.586,-10
-153.47,61.51,15
-153.83,61.551,-20
-154.22,61.595,-15
-154.22,61.596,-11
-154.1,61.582,1.4
-153.87,61.556,-31
-154.32,61.607,-28
-154.17,61.591,-11
-153.64,61.53,-13
-154.42,61.618,-23
-154.38,61.614,-12
-154.32,61.607,-33
-154.33,61.609,-32
-153.39,61.502,23
-153.87,61.557,-29
-154.45,61.621,-22
-154.32,61.607,-43
-154.4,61.616,-21
-153.94,61.565,-24
-154.45,61.621,-35
-154.35,61.611,-23
-153.98,61.57,-26
-153.43,61.507,6.5
-153.72,61.54,-28
-154.07,61.581,23
-154.4,61.617,-15
-154.19,61.594,-31
-154.4,61.617,-23
-153.62,61.53,2.9
-153.72,61.541,-25
-154.27,61.603,-28
-153.64,61.532,-22
-153.94,61.566,-29
-154.25,61.601,-16
-154.07,61.581,21
-153.65,61.533,-17
-154.07,61.581,23
-153.52,61.519,-19
-153.99,61.573,-22
-154.07,61.582,20
-153.38,61.503,22
-154.37,61.615,-3
-154.37,61.615,-6
-154.36,61.614,-29
-153.99,61.574,-8
-153.75,61.546,-23
-154.1,61.585,0.8
-154.36,61.615,-31
-153.47,61.514,-3
-154.05,61.58,0.4
-154.05,61.58,7
-154.05,61.581,6.7
-153.78,61.55,-21
-154.18,61.595,-11
-154.06,61.581,9.9
-154.08,61.585,9.5
-153.52,61.52,-22
-154.1,61.586,-7
-154.06,61.581,17
-154.3,61.609,-37
-153.52,61.521,-9
-153.72,61.543,-6
-154.05,61.581,-2
-153.83,61.557,-46
-153.38,61.505,-6
-153.92,61.567,-24
-154.22,61.6,-19
-153.83,61.557,-42
-153.94,61.569,-28
-153.76,61.549,-10
-154.14,61.591,1.8
-154.44,61.625,-11
-154.34,61.614,-23
-153.73,61.545,-22
-154.34,61.614,-29
-154.24,61.603,-24
-153.93,61.568,-27
-154.48,61.63,-4
-154.3,61.609,-24
-153.62,61.533,-9
-153.42,61.511,-10
-153.38,61.506,-2
-153.93,61.569,-41
-153.62,61.534,-16
-154.05,61.583,3.2
-154.19,61.598,-23
-153.42,61.511,-7
-153.62,61.534,-11
-154.35,61.616,-24
-153.62,61.534,-8
-154.25,61.605,-16
-153.36,61.504,7.6
-153.46,61.516,2.2
-154.47,61.63,-10
-154.33,61.614,-23
-153.93,61.57,-31
-154.29,61.61,-42
-154.39,61.621,-26
-154.47,61.629,-12
-153.46,61.516,0.3
-153.76,61.551,-2
-154.19,61.599,-22
-153.76,61.551,-14
-153.39,61.508,8
-154.49,61.632,-7
-153.76,61.551,-13
-153.46,61.517,-1
-153.46,61.516,-9
-153.95,61.573,-26
-154.18,61.598,-14
-153.78,61.554,-31
-153.93,61.571,-26
-153.79,61.554,-28
-153.86,61.563,-35
-154.07,61.586,19
-153.76,61.551,-13
-154.07,61.586,16
-153.93,61.572,-8
-154.37,61.62,-11
-153.92,61.57,-25
-154.07,61.586,12
-153.86,61.563,-30
-153.76,61.551,-16
-154.49,61.633,-3
-153.35,61.505,1.3
-153.83,61.56,-22
-154.41,61.625,-9
-154.07,61.587,8.6
-153.95,61.573,-5
-154.04,61.584,2.4
-153.95,61.574,-18
-154.04,61.584,-0
-154.24,61.606,-2
-154.01,61.581,-21
-154.18,61.6,-25
-154.06,61.587,13
-153.69,61.545,0.9
-154.37,61.62,-6
-153.94,61.573,-19
-154.04,61.585,0.9
-153.61,61.535,-1
-154.01,61.581,-15
-154.48,61.633,-2
-153.52,61.526,-8
-154.41,61.626,-16
-153.92,61.571,-50
-154.45,61.63,-13
-154.04,61.585,3.2
-153.72,61.549,1.3
-154.48,61.633,-1
-153.52,61.526,-15
-153.91,61.571,-30
-153.46,61.519,-4
-153.76,61.554,4.1
-153.65,61.541,8.6
-154.49,61.635,-19
-153.74,61.552,-30
-153.6,61.536,-3
-153.7,61.547,-17
-153.76,61.554,-8
-154.06,61.588,-8
-153.91,61.571,-30
-153.85,61.564,-17
-153.76,61.555,-16
-153.37,61.51,7.5
-153.76,61.555,-3
-153.53,61.528,-25
-154.47,61.633,-11
-154.01,61.583,-20
-153.83,61.563,-26
-153.78,61.557,-10
-154.07,61.589,11
-153.46,61.521,14
-154.39,61.625,-11
-153.46,61.52,-3
-153.68,61.547,5.2
-154.28,61.613,-32
-154.12,61.596,-9
-153.91,61.572,-35
-153.7,61.549,-7
-153.76,61.555,-12
-153.46,61.521,-0
-154.26,61.612,-10
-153.66,61.544,5.2
-153.95,61.578,-18
-153.72,61.551,-15
-154.26,61.612,-7
-153.78,61.558,-16
-154.07,61.591,16
-154.01,61.585,-21
-154.28,61.614,-33
-154.46,61.634,-20
-153.46,61.522,-13
-154.34,61.621,-24
-154.16,61.601,-11
-154.44,61.633,-3
-154.35,61.623,-18
-154.44,61.633,-12
-154.47,61.635,-18
-154.38,61.625,11
-153.72,61.552,-15
-153.75,61.555,-17
-153.35,61.509,-11
-154.04,61.588,-17
-153.74,61.555,-20
-154.34,61.621,-39
-153.61,61.54,12
-153.54,61.532,-12
-154.44,61.632,-4
-153.54,61.532,0.6
-153.54,61.532,-11
-153.53,61.531,-20
-154.4,61.629,-5
-154.26,61.614,-10
-154.44,61.633,-11
-153.92,61.575,-48
-153.54,61.532,-14
-153.35,61.51,24
-153.36,61.511,18
-153.53,61.532,-8
-154.18,61.605,-33
-153.36,61.511,22
-153.36,61.511,26
-153.53,61.532,-5
-153.46,61.523,-15
-153.54,61.533,-6
-154.4,61.63,-20
-153.56,61.535,-5
-154.16,61.603,-16
-153.54,61.533,-11
-153.94,61.579,-26
-153.54,61.533,-7
-153.46,61.523,-16
-154.17,61.604,-13
-153.61,61.541,14
-153.35,61.511,26
-153.54,61.533,-13
-154.38,61.628,-0
-153.93,61.578,-32
-153.35,61.512,29
-153.7,61.552,-8
-154.43,61.634,5.5
-153.54,61.534,-31
-153.36,61.512,26
-153.39,61.516,2.9
-153.97,61.582,-24
-153.35,61.512,32
-154.16,61.604,-18
-153.66,61.548,0.4
-153.54,61.534,-33
-154.05,61.592,5.8
